rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad
0,29.826,65.107,22.777,0.5,1.5,156,PL010,7,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,8,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,9,0
0,29.826,65.107,22.777,0.5,1.5,156,PL010,10,0
0,23.499,92.335,22.017,0,0,157,PL001,1,0
0,23.5205,92.3315,22.018,0,0,157,PL001,2,0
0,23.5205,92.3315,22.0165,0,0,157,PL001,3,0
0,23.5205,92.3315,22.0165,0,0,157,PL001,4,0
0,23.5205,92.3315,22.014,0,0,157,PL001,5,0
0,23.5205,92.3315,22.002,0,0,157,PL001,6,0
0,23.5205,92.3315,22.002,0,0,157,PL001,7,0
0,23.5205,92.3315,21.9915,0,0,157,PL001,8,0
0,23.5205,92.3315,21.989,0,0,157,PL001,9,0
0,23.5205,92.3315,21.987,0,0,157,PL001,10,0
0,23.5205,92.3315,21.987,0,0,157,PL002,1,0
0,23.5205,92.3315,21.98,0,0,157,PL002,2,45
0,23.5205,92.3315,21.966,0,0,157,PL002,3,0
0,23.5205,92.3315,21.959,0,0,157,PL002,4,0
0,23.5205,92.3315,21.9565,0,0,157,PL002,5,40
0,23.5205,92.3315,21.9525,0,0,157,PL002,6,75
0,23.5205,92.3315,21.951,0,0,157,PL002,7,0
0,23.5205,92.3315,21.946,0,0,157,PL002,8,0
0,23.5205,92.3315,21.9405,0,0,157,PL002,9,0
0,23.5205,92.3315,21.939,0,0,157,PL002,10,0
0,23.5205,92.3315,21.9305,0,0,157,PL003,1,0
0,23.5205,92.3315,21.9215,0,0,157,PL003,2,0
0,23.5205,92.3315,21.9195,0,0,157,PL003,3,0
0,23.5205,92.3315,21.9185,0,0,157,PL003,4,0
0,23.5205,92.3315,21.9085,0,0,157,PL003,5,0
0,23.5205,92.3315,21.8975,0,0,157,PL003,6,0
0,23.5205,92.3315,21.8855,0,0,157,PL003,7,0
0,23.5205,92.3315,21.875,0,0,157,PL003,8,0
0,23.5205,92.3315,21.8705,0,0,157,PL003,9,70
0,23.5205,92.3315,21.8655,0,0,157,PL003,10,0
0,23.5205,92.3315,21.865,0,0,157,PL004,1,0
0,23.5205,92.3315,21.861,0,0,157,PL004,2,0
0,23.5205,92.3315,21.852,0,0,157,PL004,3,0
