rain,temperature,rh,dew_point,wind_speed,gust_speed,wind_ direction,planta,fruto,severidad,target
0,23.66,91.8555,21.9985,0,0,149,10,7,0,0
0,23.66,91.8555,21.9985,0,0,149,10,8,65,1
0,23.66,91.8555,21.9985,0,0,149,10,9,0,0
0,23.66,91.8555,21.9985,0,0,149,10,10,0,0
0,22.47,92.958,21.352,0,0,145,1,1,0,0
0,22.47,92.958,21.352,0,0,145,1,2,0,0
0,22.47,92.958,21.352,0,0,145,1,3,10,1
0,22.47,92.958,21.352,0,0,145,1,4,0,0
0,22.47,92.958,21.352,0,0,145,1,5,0,0
0,22.47,92.958,21.352,0,0,145,1,6,0,0
0,22.47,92.958,21.352,0,0,145,1,7,0,0
0,22.47,92.958,21.352,0,0,145,1,8,0,0
0,22.47,92.958,21.352,0,0,145,1,9,90,1
0,22.47,92.958,21.352,0,0,145,1,10,0,0
0,22.47,92.958,21.352,0,0,145,2,1,0,0
0,22.47,92.958,21.352,0,0,145,2,2,0,0
0,22.47,92.958,21.352,0,0,145,2,3,0,0
0,22.47,92.958,21.352,0,0,145,2,4,100,1
0,22.47,92.958,21.352,0,0,145,2,5,0,0
0,22.47,92.958,21.352,0,0,145,2,6,80,1
0,22.47,92.958,21.352,0,0,145,2,7,100,1
0,22.47,92.958,21.352,0,0,145,2,8,0,0
0,22.47,92.958,21.352,0,0,145,2,9,0,0
0,22.47,92.958,21.352,0,0,145,2,10,0,0
0,22.47,92.958,21.352,0,0,145,3,1,0,0
0,22.47,92.958,21.352,0,0,145,3,2,0,0
0,22.47,92.958,21.352,0,0,145,3,3,0,0
0,22.47,92.958,21.352,0,0,145,3,4,0,0
0,22.47,92.958,21.352,0,0,145,3,5,0,0
0,22.47,92.958,21.352,0,0,145,3,6,0,0
0,22.47,92.958,21.352,0,0,145,3,7,50,1
0,22.47,92.958,21.352,0,0,145,3,8,0,0
0,22.47,92.958,21.352,0,0,145,3,9,0,0
0,22.47,92.958,21.352,0,0,145,3,10,100,1
0,22.47,92.958,21.352,0,0,145,4,1,0,0
0,22.47,92.958,21.352,0,0,145,4,2,0,0
0,22.47,92.958,21.352,0,0,145,4,3,0,0
0,22.47,92.958,21.352,0,0,145,4,4,0,0
0,22.47,92.958,21.352,0,0,145,4,5,80,1
0,22.47,92.958,21.352,0,0,145,4,6,0,0
0,22.47,92.958,21.352,0,0,145,4,7,0,0
0,22.47,92.958,21.352,0,0,145,4,8,0,0
